country,year,rgdpo,rkna,labsh,pl_i,pl_gdpo,pop
Mexico,1994,994086.75,3122113.5,0.5133401155471802,0.4341291042597541,0.4762198030948639,92.663664
Mongolia,1999,5928.1337890625,83542.84375,0.3687025308609009,0.33272823369491616,0.2170594036579132,2.376165
Mongolia,1989,5019.3427734375,66749.703125,0.36214759945869446,0.4792332763191888,0.34610557556152344,2.141006
Mongolia,2000,6849.5390625,84880.84375,0.39140841364860535,0.26415272696676334,0.20053227245807648,2.3974379999999997
Mongolia,1994,4340.74560546875,76847.1328125,0.36214759945869446,0.3951216901819891,0.373775452375412,2.2804949999999997
Mongolia,1993,4093.361328125,74716.46875,0.36214759945869446,0.3873365042855987,0.3773046135902405,2.263204
Mongolia,1995,5616.41943359375,76932.5859375,0.36214759945869446,0.7005718267772747,0.31468555331230164,2.298038
Mongolia,2001,7611.36865234375,85225.0390625,0.3627018630504608,0.26540161575880505,0.1999673843383789,2.419729
Mongolia,1998,5602.6162109375,82432.125,0.388291597366333,0.3397390534787373,0.2475281059741974,2.355588
Mongolia,1981,2630.81005859375,36175.94140625,0.36214759945869446,0.3374047886045069,0.312532901763916,1.733479
Mongolia,1988,5033.16064453125,61800.4765625,0.36214759945869446,0.44983171542639777,0.31821098923683167,2.0897159999999997
Mongolia,1985,4022.02587890625,49771.875,0.36214759945869446,0.5097063017765285,0.3097262978553772,1.9218849999999998
Mongolia,1987,4748.1455078125,57782.00390625,0.36214759945869446,0.496818245618119,0.30981388688087463,2.0333449999999997
Mongolia,2002,8321.05078125,85303.296875,0.367239385843277,0.2633950144420786,0.1999533623456955,2.4435029999999998
Mongolia,1984,4006.801513671875,46455.828125,0.36214759945869446,0.4583021430343471,0.2863866090774536,1.871087
Mongolia,1991,5272.162109375,69881.015625,0.36214759945869446,0.4683189228938258,0.3190878927707672,2.21792
Mongolia,1992,5056.4111328125,72115.5625,0.36214759945869446,0.4537205227609195,0.3075750172138214,2.243506
Mongolia,2006,14772.7724609375,91039.796875,0.3130769431591034,0.3289573223383679,0.26683279871940613,2.558484
Mongolia,2007,17021.0859375,94363.2109375,0.3327581584453583,0.3612844522554556,0.28681766986846924,2.5927759999999997
